Postalcode,Borough,Neighborhood,Latitude,Longitude
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.62513000000007,-79.52680999999995
M9A,Etobicoke,Islington Avenue,43.662630000000036,-79.52830999999998
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.65034000000003,-79.55361999999997
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.64857000000006,-79.57824999999997
M9L,North York,Humber Summit,43.75948000000005,-79.55706999999995
M9M,North York,"Emery, Humberlea",43.733670000000075,-79.53768999999994
M9N,York,Weston,43.705070000000035,-79.51803999999998
M9P,Etobicoke,Westmount,43.696300000000065,-79.52925999999997
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.68681000000004,-79.55727999999993
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.744530000000054,-79.58623999999998
M9W,Etobicoke,Northwest,43.71174000000008,-79.57940999999994
